text,is_positive
saya suka dengan makanan laut,1
saya tidak suka dengan makanan laut,0
saya suka dengan minuman yang manis,1
saya benci dengan minuman yang manis,0
kemarin saya makan makanan laut,1
hari ini saya makan makanan khas sunda,1 
besok saya berencana makan makanan khas Betawi,1
kemarin saya makan roti,1
hari ini saya makan pizza,1
besok saya berencana makan burger,1
hari ini saya minum teh tawar,1
kemarin saya minum coca cola,1
besok saya berencana minum kopi,1
saya tidak suka dengan minuman yang manis,0
lusa saya berencana minum teh manis,1
saya sangat benci dengan makanan yang manis,0
saya sangat benci pizza,0
